Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1060699,-,-,-,25.77,-80.18,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Fill Flag,Clearsky GHI,Clearsky DNI,Clearsky DHI,Temperature,Dew Point,Relative Humidity,Cloud Type,Solar Zenith Angle,Wind Direction,Wind Speed,Surface Albedo,Pressure
2011,1,1,0,0,0,0,0,0,0,0,0,20,16,78.06,0,173.88,119.5,5.9,0.099,1020.0
2011,1,1,0,30,0,0,0,0,0,0,0,20,16,78.05,0,176.93,119.5,5.7,0.099,1020.0
2011,1,1,1,0,0,0,0,0,0,0,0,20,16,78.02,0,171.36,123.4,5.6000000000000005,0.099,1020.0
2011,1,1,1,30,0,0,0,0,0,0,0,20,16,78.02,0,164.74,123.4,5.4,0.099,1020.0
2011,1,1,2,0,0,0,0,0,0,0,0,20,16,78.09,0,158.01,125.9,5.2,0.099,1020.0
2011,1,1,2,30,0,0,0,0,0,0,0,20,16,78.08,0,151.26,125.9,5.0,0.099,1020.0
2011,1,1,3,0,0,0,0,0,0,0,0,20,16,78.19,0,144.51,126.60000000000001,4.800000000000001,0.099,1020.0
2011,1,1,3,30,0,0,0,0,0,0,0,20,16,78.18,0,137.79,126.60000000000001,4.800000000000001,0.099,1020.0
2011,1,1,4,0,0,0,0,0,0,0,0,20,16,78.35000000000001,0,131.1,126.0,4.800000000000001,0.099,1020.0
2011,1,1,4,30,0,0,0,0,0,0,0,20,16,78.35000000000001,1,124.45,126.0,4.9,0.099,1020.0
2011,1,1,5,0,0,0,0,0,0,0,0,20,16,78.81,0,117.86,125.60000000000001,5.0,0.099,1020.0
