Date-time,Load (kW)
2017-01-01 00:00,47.63
2017-01-01 01:00,69.77
2017-01-01 02:00,32.88
2017-01-01 03:00,55.01
2017-01-01 04:00,55.01
2017-01-01 05:00,47.63
2017-01-01 06:00,55.01
2017-01-01 07:00,55.01
2017-01-01 08:00,150.91
2017-01-01 09:00,468.12
2017-01-01 10:00,505.01
2017-01-01 11:00,534.51
2017-01-01 12:00,527.14
2017-01-01 13:00,519.76
2017-01-01 14:00,527.14
2017-01-01 15:00,564.02
2017-01-01 16:00,571.4
2017-01-01 17:00,475.5
2017-01-01 18:00,372.22
2017-01-01 19:00,158.29
2017-01-01 20:00,143.54
2017-01-01 21:00,150.91
2017-01-01 22:00,91.9
2017-01-01 23:00,55.01
2017-01-02 00:00,47.63
2017-01-02 01:00,69.77
2017-01-02 02:00,32.88
2017-01-02 03:00,55.01
2017-01-02 04:00,47.63
2017-01-02 05:00,47.63
2017-01-02 06:00,55.01
2017-01-02 07:00,47.63
2017-01-02 08:00,150.91
2017-01-02 09:00,475.5
2017-01-02 10:00,534.51
2017-01-02 11:00,549.27
2017-01-02 12:00,527.14
2017-01-02 13:00,505.01
2017-01-02 14:00,490.25
2017-01-02 15:00,519.76
2017-01-02 16:00,512.38
2017-01-02 17:00,438.61
2017-01-02 18:00,342.71
2017-01-02 19:00,173.04
2017-01-02 20:00,128.78
2017-01-02 21:00,150.91
2017-01-02 22:00,91.9
2017-01-02 23:00,55.01
2017-01-03 00:00,47.63
2017-01-03 01:00,62.39
2017-01-03 02:00,32.88
2017-01-03 03:00,40.26
2017-01-03 04:00,47.63
2017-01-03 05:00,47.63
2017-01-03 06:00,47.63
2017-01-03 07:00,40.26
2017-01-03 08:00,47.63
2017-01-03 09:00,106.65
2017-01-03 10:00,25.5
2017-01-03 11:00,91.9
2017-01-03 12:00,91.9
2017-01-03 13:00,106.65
2017-01-03 14:00,91.9
2017-01-03 15:00,84.52
2017-01-03 16:00,69.77
2017-01-03 17:00,62.39
2017-01-03 18:00,62.39
2017-01-03 19:00,62.39
2017-01-03 20:00,62.39
2017-01-03 21:00,55.01
2017-01-03 22:00,55.01
2017-01-03 23:00,55.01
2017-01-04 00:00,55.01
2017-01-04 01:00,77.14
2017-01-04 02:00,32.88
2017-01-04 03:00,55.01
2017-01-04 04:00,55.01
2017-01-04 05:00,55.01
2017-01-04 06:00,55.01
2017-01-04 07:00,62.39
2017-01-04 08:00,55.01
2017-01-04 09:00,55.01
2017-01-04 10:00,55.01
2017-01-04 11:00,55.01
2017-01-04 12:00,62.39
2017-01-04 13:00,55.01
2017-01-04 14:00,55.01
2017-01-04 15:00,55.01
2017-01-04 16:00,62.39
2017-01-04 17:00,55.01
2017-01-04 18:00,62.39
2017-01-04 19:00,232.06
2017-01-04 20:00,84.52
2017-01-04 21:00,62.39
2017-01-04 22:00,55.01
2017-01-04 23:00,62.39
2017-01-05 00:00,55.01
2017-01-05 01:00,69.77
